netName,util,cp,bboxArea,bboxAr,numPins,numVias
N145,60,1600,14.000,3.500,2,4
N146,60,1600,31.360,16.000,2,4
N147,60,1600,27.200,1.700,2,4
N148,60,1600,4.000,25.000,2,4
N149,60,1600,2.040,51.000,2,4
N150,60,1600,52.440,3.632,2,4
N151,60,1600,59.160,1.759,2,4
N160,60,1600,11.200,4.375,2,4
N161,60,1600,6.160,38.500,2,4
N162,60,1600,1.080,27.000,2,4
N163,60,1600,1.520,9.500,2,4
N164,60,1600,2.800,17.500,2,4
N165,60,1600,3.960,0.818,2,4
N166,60,1600,1.120,28.000,2,4
N167,60,1600,28.480,11.125,2,4
N176,60,1600,107.360,22.182,2,8
N177,60,1600,34.200,95.000,2,8
N178,60,1600,10.680,267.000,2,8
N179,60,1600,52.920,27.000,2,8
N180,60,1600,0.040,1.000,2,0
N181,60,1600,343.000,7.000,2,8
N182,60,1600,9.800,245.000,2,8
N183,60,1600,0.040,1.000,2,0
N192,60,1600,8.800,55.000,2,6
N193,60,1600,45.760,17.875,2,4
N194,60,1600,45.600,11.400,2,4
N195,60,1600,1.440,36.000,2,4
N196,60,1600,46.720,18.250,2,4
N197,60,1600,115.920,1.370,2,4
N198,60,1600,990.600,1.535,2,6
N199,60,1600,106.560,1.946,2,4
N208,60,1600,394.320,0.877,2,8
N209,60,1600,4.800,0.300,2,4
N210,60,1600,96.280,2.862,2,4
N211,60,1600,67.840,6.625,2,4
N212,60,1600,83.600,1.447,2,4
N213,60,1600,205.400,0.823,2,4
N214,60,1600,235.400,0.514,2,8
N215,60,1600,73.960,1.000,2,4
N224,60,1600,281.600,0.275,2,6
N225,60,1600,89.640,0.325,2,4
N226,60,1600,1188.560,0.927,2,6
N227,60,1600,1556.600,0.842,2,8
N228,60,1600,1151.920,0.824,2,8
N229,60,1600,1729.106,0.914,2,6
N230,60,1600,0.040,1.000,2,0
N231,60,1600,60.320,0.558,2,4
N240,60,1600,14.600,365.000,2,12
N241,60,1600,84.560,43.143,2,8
N242,60,1600,27.520,172.000,2,8
N243,60,1600,13.040,326.000,2,8
N244,60,1600,337.440,23.368,2,12
N245,60,1600,12.040,301.000,2,12
N246,60,1600,548.680,7.419,2,12
N247,60,1600,373.800,7.629,2,8
N256,60,1600,276.640,0.209,2,6
N257,60,1600,122.640,0.144,2,4
N258,60,1600,167.200,0.096,2,6
N259,60,1600,38.360,0.051,2,2
N260,60,1600,15.240,0.024,2,2
N261,60,1600,37.520,0.052,2,2
N262,60,1600,30.800,0.032,2,2
N263,60,1600,81.760,0.096,2,4
N272,60,1600,167.280,14.471,2,4
N273,60,1600,13.920,87.000,2,4
N274,60,1600,6.000,150.000,2,4
N275,60,1600,24.320,9.500,2,4
N276,60,1600,29.120,11.375,2,4
N277,60,1600,15.680,8.000,2,4
N278,60,1600,25.160,2.176,2,4
N279,60,1600,0.360,9.000,2,4
N376,60,1600,3.960,0.818,2,2
N377,60,1600,1.760,0.364,2,2
N378,60,1600,1.320,0.273,2,2
N379,60,1600,0.440,0.091,2,2
